Master Index,before_after,date_diff,flight_length,label,hierarchy,fold,class,target_class,hclass,number_flights_before,label_encoded,hierarchy_encoded,mean_flight_length_per_label,is_recent_flight
1,1,-0.6904752255149709,-0.35934575688556714,intake gasket leak/damage,Unknown,0,10,10,0,-0.2107115033673233,14,0,0.005655720915688669,0
2,1,-1.4025375222303829,-0.3928137529152802,intake gasket leak/damage,Unknown,0,10,10,0,1.5579053635667142,14,0,0.005655720915688669,0
7,0,0.733649367915853,-0.9206130957081873,intake gasket leak/damage,Unknown,0,10,0,0,-0.8002504590120024,14,0,0.005655720915688669,1
9,1,-0.6904752255149709,-0.2435645814314247,intake gasket leak/damage,Unknown,0,10,10,0,-0.2107115033673233,14,0,0.005655720915688669,0
11,0,1.4457116646312649,-0.14180378269243232,intake gasket leak/damage,Unknown,0,10,0,0,-0.8002504590120024,14,0,0.005655720915688669,1
20,0,0.733649367915853,-0.2928620350427588,intake gasket leak/damage,Unknown,0,10,0,0,-0.8002504590120024,14,0,0.005655720915688669,1
22,0,0.733649367915853,-0.16667864460640824,intake gasket leak/damage,Unknown,0,10,0,0,-0.8002504590120024,14,0,0.005655720915688669,1
25,0,0.733649367915853,-0.5886467567107633,intake gasket leak/damage,Unknown,0,10,0,0,-0.8002504590120024,14,0,0.005655720915688669,1
28,1,-1.4025375222303829,2.010097907974793,intake gasket leak/damage,Unknown,0,10,10,0,0.968366407922035,14,0,0.005655720915688669,0
32,0,0.733649367915853,0.023274846373044188,intake gasket leak/damage,Unknown,0,10,0,0,-0.8002504590120024,14,0,0.005655720915688669,1
35,0,0.733649367915853,-0.4194976956957271,intake gasket leak/damage,Unknown,0,10,0,0,-0.8002504590120024,14,0,0.005655720915688669,1
41,0,1.4457116646312649,-0.31411873522379274,intake gasket leak/damage,Unknown,0,10,0,0,-0.8002504590120024,14,0,0.005655720915688669,1
44,1,-1.4025375222303829,0.5890648873618418,intake gasket leak/damage,Unknown,0,10,10,0,0.968366407922035,14,0,0.005655720915688669,0
50,0,0.733649367915853,0.17840353067293035,intake gasket leak/damage,Unknown,0,10,0,0,-0.8002504590120024,14,0,0.005655720915688669,1
51,1,-1.4025375222303829,0.20418293302014173,intake gasket leak/damage,Unknown,0,10,10,0,2.1474443192113934,14,0,0.005655720915688669,0
61,0,0.733649367915853,0.9088199305105867,intake gasket leak/damage,Unknown,0,10,0,0,-0.8002504590120024,14,0,0.005655720915688669,1
