Time,E135,E140,E142,E161,E165,E167,E181,E235,E240,E242,E261,E265,E267,E281,E335,E340,ESH141A,ESH144A,ESH160A,ESH170,ESH171,ESH172,ESH173,ESH174,ESH175,ESH183,ESH184,ESH241A,ESH244A,ESH260A,ESH270,ESH271,ESH272,ESH273,ESH274,ESH275,ESH283,ESH284,ESH341A,ESH344A,ISH136,ISH162,ISH166,ISH180,ISH236,ISH262,ISH266,ISH280,ISH336,IT140,IT161,IT167,IT181,IT240,IT261,IT267,IT281,IT340,LT500,LT505,ST165,ST265,ST515,ST516,TE128,TE129,TE133,TE228,TE229,TE328,TE329,TE500,TE501,TE502,TE505,TE506,TE507,TE510,TE511
,25.47951508,25.47951508,0.0,0.058594644,0.073243305,0.073243305,0.058594644,25.2597847,25.27443314,0.014648661,0.014648661,0.219729915,0.219729915,0.014648661,24.23437881,24.21973038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.048471568,0.079752365,0.000388,0.008207792,-0.061011221,-0.014090026,0.008207792,0.000388,-0.045370823,16.54473693,18.35290064,0.219729915,0.439459831,0.0,0.0,71.88922119,69.84161377,70.24536133,70.82215881,72.11993408,71.77386475,70.90867615,108.1116943,99.83474731,93.40352631,67.21720886,67.67864227,67.30373383,69.38018036,66.66925812
,25.47951508,25.46486664,0.0,0.073243305,0.073243305,0.073243305,0.043945983,25.2597847,25.2597847,0.029297322,0.014648661,0.219729915,0.219729915,0.014648661,24.23437881,24.21973038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.048471568,0.079752365,0.000388,0.008207792,-0.061011221,-0.014090026,0.008207792,0.004297693,-0.045370823,16.37784772,18.2590008,0.219729915,0.219729915,0.0,0.0,71.88922119,69.84161377,70.24536133,70.82215881,72.11993408,71.77386475,70.90867615,108.1116943,99.60402679,93.2016449,67.18836975,67.67864227,67.30373383,69.35134125,66.66925812
,25.46486664,25.47951508,0.0,0.058594644,0.073243305,0.073243305,0.043945983,25.24513626,25.2597847,0.0,0.0,0.29297322,0.219729915,0.014648661,24.23437881,24.21973038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.064111967,0.079752365,0.000388,0.012117892,-0.045370823,-0.014090026,0.000388,0.004297693,-0.014090026,16.59024021,18.38143883,0.219729915,0.439459831,0.0,0.0,71.9180603,69.87045288,70.24536133,70.82215881,72.11993408,71.77386475,70.90867615,108.1116943,99.60402679,93.2016449,67.18836975,67.7363205,67.30373383,69.35134125,66.87113953
,25.46486664,25.49416351,0.0,0.058594644,0.073243305,0.073243305,0.043945983,25.2597847,25.2597847,0.014648661,0.0,0.219729915,0.219729915,0.014648661,24.23437881,24.20508194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.048471568,0.079752365,0.000388,0.012117892,-0.061011221,-0.014090026,0.008207792,-0.003522506,-0.045370823,14.40121665,15.60731668,0.439459831,0.439459831,0.0,0.0,71.9180603,69.87045288,70.24536133,70.85099792,72.11993408,71.74501801,70.93751526,107.8233032,99.43099213,93.05744934,67.18836975,67.7363205,67.30373383,69.38018036,66.87113953
,25.47951508,25.47951508,0.0,0.058594644,0.073243305,0.073243305,0.043945983,25.24513626,25.27443314,0.014648661,0.0,0.219729915,0.219729915,0.014648661,24.23437881,24.21973038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.064111967,0.079752365,0.000388,0.008207792,-0.076653075,-0.014090026,0.000388,0.000388,-0.045370823,14.06138866,14.99118118,0.219729915,0.439459831,0.0,0.0,71.9180603,69.84161377,70.27420807,70.85099792,72.11993408,71.74501801,70.93751526,107.8233032,99.43099213,93.05744934,67.15953064,67.70748138,67.30373383,69.38018036,66.35202789
,25.46486664,25.47951508,0.0,0.058594644,0.073243305,0.14648661,0.043945983,25.2597847,25.27443314,0.014648661,0.014648661,0.29297322,0.219729915,0.014648661,24.23437881,24.21973038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.064111967,0.079752365,0.000388,0.012117892,-0.061011221,-0.014090026,0.000388,0.004297693,-0.045370823,13.56111556,14.77615844,0.219729915,0.439459831,0.0,0.0,71.9180603,69.84161377,70.27420807,70.82215881,72.09109497,71.77386475,70.93751526,107.5060654,99.22911072,92.88441467,67.15953064,67.70748138,67.30373383,69.35134125,66.35202789
,25.47951508,25.47951508,0.029297322,0.058594644,0.073243305,0.073243305,0.043945983,25.2597847,25.2597847,0.014648661,0.0,0.219729915,0.219729915,0.014648661,24.23437881,24.21973038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.064111967,0.079752365,0.000388,0.008207792,-0.045370823,-0.014090026,0.008207792,0.000388,-0.045370823,13.58320964,14.51628998,0.219729915,0.439459831,0.0,0.0,71.9180603,69.84161377,70.27420807,70.82215881,72.09109497,71.77386475,70.93751526,107.5060654,99.22911072,92.88441467,67.15953064,67.62096405,67.30373383,69.35134125,66.78462219
,25.47951508,25.47951508,0.014648661,0.043945983,0.073243305,0.14648661,0.043945983,25.2597847,25.2597847,0.014648661,0.0,0.219729915,0.219729915,0.014648661,24.23437881,24.21973038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03283117,0.079752365,0.008207792,0.012117892,-0.061011221,-0.014090026,0.008207792,0.004297693,-0.045370823,13.46879387,14.67108005,0.219729915,0.439459831,0.0,0.0,71.9180603,69.84161377,70.27420807,70.85099792,72.09109497,71.80270386,70.93751526,107.1599884,99.05607605,92.76905823,67.15953064,67.62096405,67.30373383,69.35134125,66.78462219
,25.47951508,25.49416351,0.014648661,0.058594644,0.073243305,0.073243305,0.043945983,25.27443314,25.2597847,0.029297322,0.014648661,0.29297322,0.219729915,0.014648661,24.24902725,24.21973038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.064111967,0.079752365,0.000388,0.012117892,-0.076653075,-0.014090026,0.000388,0.004297693,-0.045370823,13.57505588,14.62820701,0.219729915,0.439459831,0.0,0.0,71.88922119,69.81277466,70.27420807,70.85099792,72.09109497,71.80270386,70.93751526,107.1599884,99.05607605,92.76905823,67.15953064,67.67864227,67.27489471,69.35134125,66.35202789
,25.47951508,25.47951508,0.029297322,0.043945983,0.14648661,0.073243305,0.043945983,25.2597847,25.2597847,0.029297322,0.014648661,0.29297322,0.219729915,0.014648661,24.23437881,24.21973038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.048471568,0.079752365,0.000388,0.012117892,-0.061011221,-0.014090026,-0.003522506,0.004297693,-0.045370823,13.735764,14.84283522,0.439459831,0.439459831,0.0,0.0,71.88922119,69.81277466,70.27420807,70.87983704,72.09109497,71.77386475,70.93751526,106.78508,98.85420227,92.65369415,67.15953064,67.67864227,67.27489471,69.35134125,66.35202789
