Time,E135,E140,E142,E161,E165,E167,E181,E235,E240,E242,E261,E265,E267,E281,E335,E340,ESH141A,ESH144A,ESH160A,ESH170,ESH171,ESH172,ESH173,ESH174,ESH175,ESH183,ESH184,ESH241A,ESH244A,ESH260A,ESH270,ESH271,ESH272,ESH273,ESH274,ESH275,ESH283,ESH284,ESH341A,ESH344A
2008-03-28 16:18:38.289000-07:00,24.77637863,24.77637863,0.0,0.029297322,0.073243305,0.073243305,0.014648661,25.04005432,25.04005432,0.014648661,0.0,0.29297322,0.219729915,0.014648661,23.73632431,23.72167587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-28 16:18:38.789000-07:00,24.77637863,24.79102707,0.0,0.014648661,0.14648661,0.14648661,0.0,25.05470276,25.05470276,0.014648661,0.014648661,0.219729915,0.219729915,0.014648661,23.73632431,23.72167587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-28 16:18:39.289000-07:00,24.77637863,24.77637863,0.0,0.014648661,0.14648661,0.14648661,0.0,25.05470276,25.04005432,0.029297322,0.014648661,0.219729915,0.219729915,0.014648661,23.73632431,23.72167587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-28 16:18:39.789000-07:00,24.79102707,24.77637863,0.0,0.014648661,0.073243305,0.073243305,0.0,25.05470276,25.04005432,0.014648661,0.0,0.219729915,0.219729915,0.014648661,23.73632431,23.72167587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-28 16:18:40.273000-07:00,24.77637863,24.77637863,0.0,0.014648661,0.14648661,0.073243305,0.014648661,25.04005432,25.05470276,0.029297322,0.0,0.219729915,0.219729915,0.014648661,23.73632431,23.72167587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-28 16:18:40.789000-07:00,24.77637863,24.77637863,0.0,0.014648661,0.14648661,0.073243305,0.014648661,25.05470276,25.04005432,0.014648661,0.014648661,0.219729915,0.219729915,0.014648661,23.73632431,23.72167587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-28 16:18:41.398000-07:00,24.77637863,24.77637863,0.014648661,0.014648661,0.14648661,0.073243305,0.0,25.05470276,25.04005432,0.014648661,0.0,0.219729915,0.219729915,0.014648661,23.73632431,23.72167587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-28 16:18:41.773000-07:00,24.77637863,24.79102707,0.014648661,0.029297322,0.14648661,0.073243305,0.0,25.04005432,25.04005432,0.029297322,0.014648661,0.219729915,0.219729915,0.014648661,23.73632431,23.72167587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-28 16:18:42.304000-07:00,24.79102707,24.77637863,0.0,0.014648661,0.073243305,0.073243305,0.0,25.05470276,25.04005432,0.014648661,0.0,0.219729915,0.219729915,0.014648661,23.73632431,23.72167587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-28 16:18:42.773000-07:00,24.77637863,24.77637863,0.014648661,0.014648661,0.073243305,0.073243305,0.014648661,25.05470276,25.04005432,0.0,0.0,0.29297322,0.219729915,0.014648661,23.73632431,23.72167587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-28 16:18:43.273000-07:00,24.77637863,24.77637863,0.029297322,0.014648661,0.14648661,0.073243305,0.014648661,25.05470276,25.04005432,0.014648661,0.014648661,0.219729915,0.219729915,0.014648661,23.73632431,23.72167587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-28 16:18:43.773000-07:00,24.79102707,24.77637863,0.0,0.014648661,0.073243305,0.073243305,0.0,25.05470276,25.04005432,0.014648661,0.014648661,0.219729915,0.219729915,0.014648661,23.73632431,23.72167587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-28 16:18:44.273000-07:00,24.77637863,24.77637863,24.79102707,0.014648661,0.073243305,0.14648661,0.014648661,25.05470276,25.04005432,0.029297322,0.0,0.219729915,0.219729915,0.0,23.73632431,23.72167587,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-28 16:18:44.789000-07:00,24.77637863,24.77637863,24.79102707,0.014648661,0.14648661,0.14648661,0.0,25.05470276,25.04005432,0.014648661,0.014648661,0.29297322,0.219729915,0.014648661,23.73632431,23.72167587,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-28 16:18:45.258000-07:00,24.77637863,24.77637863,24.79102707,0.014648661,0.073243305,0.073243305,0.0,25.05470276,25.04005432,0.0,0.0,0.29297322,0.219729915,0.014648661,23.73632431,23.72167587,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-28 16:18:45.789000-07:00,24.77637863,24.77637863,24.79102707,24.77637863,0.14648661,0.073243305,24.79102707,25.05470276,25.02540588,0.014648661,0.0,0.219729915,0.219729915,0.014648661,23.73632431,23.72167587,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-28 16:18:46.289000-07:00,24.79102707,24.76173019,24.77637863,24.77637863,0.14648661,0.14648661,24.79102707,25.05470276,25.04005432,0.0,0.0,0.219729915,0.219729915,0.014648661,23.73632431,23.72167587,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-28 16:18:46.773000-07:00,24.77637863,24.76173019,24.77637863,24.74708176,0.14648661,0.14648661,24.77637863,25.05470276,25.04005432,0.014648661,0.0,0.219729915,0.219729915,0.0,23.73632431,23.72167587,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-28 16:18:47.258000-07:00,24.76173019,24.74708176,24.74708176,24.74708176,0.14648661,0.14648661,24.74708176,25.05470276,25.02540588,0.029297322,0.0,0.219729915,0.219729915,0.0,23.73632431,23.72167587,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-28 16:18:47.758000-07:00,24.74708176,24.70313644,24.71778488,24.70313644,0.14648661,0.073243305,24.73243332,25.05470276,25.02540588,0.014648661,0.0,0.219729915,0.219729915,0.029297322,23.73632431,23.72167587,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-28 16:18:48.258000-07:00,24.73243332,24.68848801,24.68848801,24.67383766,0.073243305,0.073243305,24.68848801,25.05470276,25.01075745,0.029297322,0.0,0.219729915,0.219729915,0.0,23.73632431,23.72167587,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
