Master Index,before_after,date_diff,flight_length,label,hierarchy,fold,class,target_class,hclass,number_flights_before,mean_flight_length_per_label,is_recent_flight,flight_length_ratio,flights_per_length,before_after_date_diff,label_encoded
1.0,1.0,0.26584673604541176,0.4303539597657244,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0,5134.285568587456,0,4723.0,0.0,-1.0,14
2.0,1.0,0.26584673604541176,0.4209320091673033,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.75,5134.285568587456,0,1162.25,0.0006451612903225806,-2.0,14
7.0,0.0,0.0,0.27234530175706645,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,0.0,5134.285568587456,1,2524.074202559605,-0.0002871088142405972,0.0,14
9.0,1.0,0.26584673604541176,0.4629488158899923,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.0,5134.285568587456,0,4979.0,0.0,-1.0,14
11.0,0.0,1.0,0.49159663865546216,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,0.0,5134.285568587456,1,2524.074202559605,-0.00019212295869356388,0.0,14
20.0,0.0,0.0,0.4490705373058314,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,0.0,5134.285568587456,1,2524.074202559605,-0.00020529665366454526,0.0,14
22.0,0.0,0.0,0.484593837535014,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,0.0,5134.285568587456,1,2524.074202559605,-0.0001941747572815534,0.0,14
25.0,0.0,0.0,0.36580086580086574,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,0.0,5134.285568587456,1,2524.074202559605,-0.00023713540431586437,0.0,14
32.0,0.0,0.0,0.5380697733638911,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,0.0,5134.285568587456,1,2524.074202559605,-0.00017953321364452425,0.0,14
35.0,0.0,0.0,0.4134199134199134,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,0.0,5134.285568587456,1,2524.074202559605,-0.00021781746896101068,0.0,14
41.0,0.0,1.0,0.44308632543926657,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,0.0,5134.285568587456,1,2524.074202559605,-0.00020729684908789387,0.0,14
44.0,1.0,0.26584673604541176,0.6973516679399032,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,0.5,5134.285568587456,0,2273.3333333333335,0.00029321213898255387,-2.0,14
50.0,0.0,0.0,0.5817417876241404,intake gasket leak/damage,engine,0.0,10.0,0.0,0.0,0.0,5134.285568587456,1,2524.074202559605,-0.00016911889058007779,0.0,14
51.0,1.0,0.26584673604541176,0.5889992360580596,intake gasket leak/damage,engine,0.0,10.0,10.0,0.0,1.0,5134.285568587456,0,1193.8,0.0006700167504187605,-2.0,14
